sku,internal_code,status,brand,series,model,variant_of,gtin,hsn,title,description,category,sub_category,mrp,selling_price,gst_rate,availability,stock_count,condition,installation_included,warranty_months,compressor_warranty_months,weight_kg,length_mm,width_mm,height_mm,capacity,color,star_rating,inverter,rating_value,rating_count,highlights,faqs,image_files
GAL-RF-003,R4D522 / FPV3N0RXID,active,Voltas Beko,,R4D522,,,,Voltas Beko 466L French Door Refrigerator,"This French door refrigerator has a net capacity of 466L and a gross capacity of 522L. It includes 5-in-1 modes, surround air cooling and a ProSmart inverter compressor.",Refrigerator,French Door,,,,,,new,,,,,,,,466L,Hairline Silver,,true,,,"Surround Air Cooling System :: Circulates cold air evenly from corner to corner|Harvest Fresh :: Keeps fruits and veggies fresh and nutritious longer|ProSmart Inverter Compressor :: Energy efficient, quiet, and built to last",,
GAL-RF-004,R4D472 / FPV3N0RXID,active,Voltas Beko,,R4D472,,,,Voltas Beko 421L French Door Refrigerator,"This French door refrigerator has a net capacity of 421L and a gross capacity of 472L. It includes 4-in-1 modes, surround air cooling and a ProSmart inverter compressor.",Refrigerator,French Door,,,,,,new,,,,,,,,421L,Hairline Silver,,true,,,"Surround Air Cooling System :: Circulates cold air evenly from corner to corner|Harvest Fresh :: Keeps fruits and veggies fresh and nutritious longer|ProSmart Inverter Compressor :: Energy efficient, quiet, and built to last",,
GAL-RF-005,RFF270D / 1W0V100RXBD,active,Voltas Beko,,RFF270D,,,,Voltas Beko 230L Frost Free Double Door Refrigerator,"This 230L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,230L,,,,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-006,RFF270D / 1W0V100RXID,active,Voltas Beko,,RFF270D,GAL-RF-005,,,Voltas Beko 230L Frost Free Double Door Refrigerator,"This 230L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,230L,,,,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-007,RFF270C / 2WPV100RBBD,active,Voltas Beko,,RFF270C,,,,Voltas Beko 230L Frost Free Double Door Refrigerator,"This 230L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,230L,,,,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-008,RFF270C / 2WPV100RBWD,active,Voltas Beko,,RFF270C,GAL-RF-007,,,Voltas Beko 230L Frost Free Double Door Refrigerator,"This 230L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,230L,,,,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-009,RFF270C / 2WPV100RXID,active,Voltas Beko,,RFF270C,GAL-RF-007,,,Voltas Beko 230L Frost Free Double Door Refrigerator,"This 230L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,230L,,,,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-010,RFF270C / 2WPV100RXBD,active,Voltas Beko,,RFF270C,GAL-RF-007,,,Voltas Beko 230L Frost Free Double Door Refrigerator,"This 230L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,230L,,,,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-011,RFF270B / 3WPV100RBWDP,active,Voltas Beko,,RFF270B,,,,Voltas Beko 230L Frost Free Double Door Refrigerator,"This 230L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,230L,,,,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-012,RFF270B / 3WPV100RXBDP,active,Voltas Beko,,RFF270B,GAL-RF-011,,,Voltas Beko 230L Frost Free Double Door Refrigerator,"This 230L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,230L,,,,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
